Lugar_de_la_estacion;Nombre_de_estacion;Numero_de_estacion;LocalX;LocalY;Nivel_de_referencia;Nombre_de_parametro;Tipo_de_parametro;Nombre_del_tipo_de_parametro;Nombre_de_serie_de_tiempo;Unidad_de_serie_de_tiempo;GlobalX;GlobalY;Longitud;Latitud;Fecha;Tiempo;Valor_Hm3;Estado_del_valor;Vol_Entrada;Vol_Embalsado;Vol_Salida
;URRUNAGA;9828;0;0;0;Volumen Embalse;V;Volumen;Cmd-3;Hm3;0;0;-2.655106;42.957735;01/06/2019;00:00:00;0;faltante (M);0;172.92;0.22
;URRUNAGA;9828;0;0;0;Volumen Embalse;V;Volumen;Cmd-3;Hm3;0;0;-2.655106;42.957735;02/06/2019;00:00:00;0;faltante (M);0;172.92;0.22
;URRUNAGA;9828;0;0;0;Volumen Embalse;V;Volumen;Cmd-3;Hm3;0;0;-2.655106;42.957735;03/06/2019;00:00:00;0;faltante (M);0;172.92;0.22
;URRUNAGA;9828;0;0;0;Volumen Embalse;V;Volumen;Cmd-3;Hm3;0;0;-2.655106;42.957735;04/06/2019;00:00:00;0;faltante (M);0;172.92;0.22
;URRUNAGA;9828;0;0;0;Volumen Embalse;V;Volumen;Cmd-3;Hm3;0;0;-2.655106;42.957735;05/06/2019;00:00:00;0;faltante (M);0;172.92;0.22
;URRUNAGA;9828;0;0;0;Volumen Embalse;V;Volumen;Cmd-3;Hm3;0;0;-2.655106;42.957735;06/06/2019;00:00:00;0;faltante (M);0;172.92;0.22
;URRUNAGA;9828;0;0;0;Volumen Embalse;V;Volumen;Cmd-3;Hm3;0;0;-2.655106;42.957735;07/06/2019;00:00:00;0;faltante (M);0;172.92;0.22
;URRUNAGA;9828;0;0;0;Volumen Embalse;V;Volumen;Cmd-3;Hm3;0;0;-2.655106;42.957735;08/06/2019;00:00:00;0;faltante (M);0;172.92;0.22
;URRUNAGA;9828;0;0;0;Volumen Embalse;V;Volumen;Cmd-3;Hm3;0;0;-2.655106;42.957735;09/06/2019;00:00:00;0;faltante (M);0;172.92;0.22
;URRUNAGA;9828;0;0;0;Volumen Embalse;V;Volumen;Cmd-3;Hm3;0;0;-2.655106;42.957735;10/06/2019;00:00:00;0;faltante (M);0;172.92;0.22
;URRUNAGA;9828;0;0;0;Volumen Embalse;V;Volumen;Cmd-3;Hm3;0;0;-2.655106;42.957735;11/06/2019;00:00:00;0;faltante (M);0;172.92;0.22
;URRUNAGA;9828;0;0;0;Volumen Embalse;V;Volumen;Cmd-3;Hm3;0;0;-2.655106;42.957735;12/06/2019;00:00:00;0;faltante (M);0;172.92;0.22
;URRUNAGA;9828;0;0;0;Volumen Embalse;V;Volumen;Cmd-3;Hm3;0;0;-2.655106;42.957735;13/06/2019;00:00:00;0;faltante (M);0;172.92;0.22
;URRUNAGA;9828;0;0;0;Volumen Embalse;V;Volumen;Cmd-3;Hm3;0;0;-2.655106;42.957735;14/06/2019;00:00:00;0;faltante (M);0;172.92;0.22
;URRUNAGA;9828;0;0;0;Volumen Embalse;V;Volumen;Cmd-3;Hm3;0;0;-2.655106;42.957735;15/06/2019;00:00:00;0;faltante (M);0;172.92;0.22
;ULLIVARRI;9827;0;0;0;Volumen Embalse;V;Volumen;Cmd-3;Hm3;0;0;-2.616536;42.927994;01/06/2019;00:00:00;0;faltante (M);0;172.92;0.22
;ULLIVARRI;9827;0;0;0;Volumen Embalse;V;Volumen;Cmd-3;Hm3;0;0;-2.616536;42.927994;02/06/2019;00:00:00;0;faltante (M);0;172.92;0.22
;ULLIVARRI;9827;0;0;0;Volumen Embalse;V;Volumen;Cmd-3;Hm3;0;0;-2.616536;42.927994;03/06/2019;00:00:00;0;faltante (M);0;172.92;0.22
;ULLIVARRI;9827;0;0;0;Volumen Embalse;V;Volumen;Cmd-3;Hm3;0;0;-2.616536;42.927994;04/06/2019;00:00:00;0;faltante (M);0;172.92;0.22
;ULLIVARRI;9827;0;0;0;Volumen Embalse;V;Volumen;Cmd-3;Hm3;0;0;-2.616536;42.927994;05/06/2019;00:00:00;0;faltante (M);0;172.92;0.22
